N,wide_area,narrow_area,wide_error,narrow_error
100,30.077722283113840,25.934918671948154,29.077722283113840,24.934918671948154
600,23.059587083720608,23.582172885252433,22.059587083720608,22.582172885252433
1100,23.788743987553669,23.159375016607324,22.788743987553669,22.159375016607324
1600,22.840270358739573,23.164970870751155,21.840270358739573,22.164970870751155
2100,21.913769091982939,23.167902032445546,20.913769091982939,22.167902032445546
2600,22.326924617849887,23.131826196206919,21.326924617849887,22.131826196206919
3100,22.606804167630724,23.170927747742979,21.606804167630724,22.170927747742979
3600,22.600066326617483,23.263001945196812,21.600066326617483,22.263001945196812
4100,22.705012308838370,23.260555338687674,21.705012308838370,22.260555338687674
4600,22.950609829071645,23.280050827709101,21.950609829071645,22.280050827709101
5100,22.853171342561982,23.179856574257951,21.853171342561982,22.179856574257951
5600,23.095393895962413,23.214800619555760,22.095393895962413,22.214800619555760
6100,23.174638480431973,23.308597793776183,22.174638480431973,22.308597793776183
6600,22.991228623986260,23.258856868053233,21.991228623986260,22.258856868053233
7100,22.664199185163241,23.160636054160864,21.664199185163241,22.160636054160864
7600,22.775959439384231,23.140133132182918,21.775959439384231,22.140133132182918
8100,22.688257178990806,23.097843649231521,21.688257178990806,22.097843649231521
8600,22.663213999369496,23.136818085174824,21.663213999369496,22.136818085174824
9100,22.789658806820871,23.146256530702370,21.789658806820871,22.146256530702370
9600,23.028256123009033,23.192328379898779,22.028256123009033,22.192328379898779
10100,23.139000211860843,23.172081114465264,22.139000211860843,22.172081114465264
10600,23.083233091804814,23.144452738890436,22.083233091804814,22.144452738890436
11100,23.344106078290604,23.116355837603688,22.344106078290604,22.116355837603688
11600,23.375057446747523,23.127472215971224,22.375057446747523,22.127472215971224
12100,23.279162742261249,23.159375016607324,22.279162742261249,22.159375016607324
12600,23.262492353090821,23.123608922397011,22.262492353090821,22.123608922397011
13100,23.212654372693198,23.120645440853576,22.212654372693198,22.120645440853576
13600,23.100133032876766,23.098588679437068,22.100133032876766,22.098588679437068
14100,23.059587083720608,23.113020707103804,22.059587083720608,22.113020707103804
14600,23.073321203484589,23.144452738890436,22.073321203484589,22.144452738890436
15100,23.036348225444474,23.134669258797910,22.036348225444474,22.134669258797910
15600,23.175270630963354,23.161288129135130,22.175270630963354,22.161288129135130
16100,23.212155240229158,23.139355066378457,22.212155240229158,22.139355066378457
16600,23.283056104699568,23.146430390154123,22.283056104699568,22.146430390154123
17100,23.191506918295669,23.101256671815243,22.191506918295669,22.101256671815243
17600,23.207697079811702,23.110877614027444,22.207697079811702,22.110877614027444
18100,23.181448941957903,23.103643194858069,22.181448941957903,22.103643194858069
18600,23.172782812743080,23.109152727087054,22.172782812743080,22.109152727087054
19100,23.211812903303560,23.134999358766127,22.211812903303560,22.134999358766127
19600,23.241178774375463,23.149477587509391,22.241178774375463,22.149477587509391
20100,23.224191534026204,23.151802517467413,22.224191534026204,22.151802517467413
20600,23.215329335024759,23.136484532342585,22.215329335024759,22.136484532342585
21100,23.164122611402838,23.137451291051708,22.164122611402838,22.137451291051708
21600,23.164023619425866,23.136853430793877,22.164023619425866,22.136853430793877
22100,23.089075046743268,23.134797147426571,22.089075046743268,22.134797147426571
22600,23.110603869304061,23.127021405628238,22.110603869304061,22.127021405628238
23100,23.131200708204215,23.122424614641702,22.131200708204215,22.122424614641702
23600,23.099945609382981,23.118022602934257,22.099945609382981,22.118022602934257
24100,23.113668742044325,23.143771639077634,22.113668742044325,22.143771639077634
24600,23.084040516471109,23.129773099835617,22.084040516471109,22.129773099835617
25100,22.983693760562687,23.121563986217126,21.983693760562687,22.121563986217126
25600,23.010632457608772,23.120087457305836,22.010632457608772,22.120087457305836
26100,23.001966926090120,23.117409683870946,22.001966926090120,22.117409683870946
26600,22.954051216060559,23.128408485405366,21.954051216060559,22.128408485405366
27100,22.885706032391411,23.113561972103820,21.885706032391411,22.113561972103820
27600,22.836183711690232,23.099253375950884,21.836183711690232,22.099253375950884
28100,22.825887106313257,23.067929599424129,21.825887106313257,22.067929599424129
28600,22.821208865159797,23.052623337555755,21.821208865159797,22.052623337555755
29100,22.847699349423760,23.044611932310449,21.847699349423760,22.044611932310449
29600,22.827568617910551,23.027998476978251,21.827568617910551,22.027998476978251
30100,22.798114082699076,23.037022254463555,21.798114082699076,22.037022254463555
30600,22.828598040043097,23.026439954332055,21.828598040043097,22.026439954332055
31100,22.853266159163343,23.032031849209847,21.853266159163343,22.032031849209847
31600,22.829562308876120,23.026018965112115,21.829562308876120,22.026018965112115
32100,22.830021913646998,23.027352372632382,21.830021913646998,22.027352372632382
32600,22.918117224311278,23.030658927834672,21.918117224311278,22.030658927834672
33100,22.912681793616780,23.024939269925287,21.912681793616780,22.024939269925287
33600,22.952166646995202,23.013527516541092,21.952166646995202,22.013527516541092
34100,22.990493586784812,23.025555880952670,21.990493586784812,22.025555880952670
34600,22.953822453341640,23.044827127543595,21.953822453341640,22.044827127543595
35100,22.969610991420694,23.049519843899539,21.969610991420694,22.049519843899539
35600,23.006078027224429,23.047625599772442,22.006078027224429,22.047625599772442
36100,23.049866674857181,23.046693218667624,22.049866674857181,22.046693218667624
36600,23.059587083720608,23.037713604839048,22.059587083720608,22.037713604839048
37100,23.044723878639104,23.064371189202244,22.044723878639104,22.064371189202244
37600,23.062253548462017,23.065872659423857,22.062253548462017,22.065872659423857
38100,23.035903837828393,23.057856528832602,22.035903837828393,22.057856528832602
38600,23.068677932424485,23.050048070018324,22.068677932424485,22.050048070018324
39100,23.085228790696835,23.050835482523375,22.085228790696835,22.050835482523375
39600,23.105159390210172,23.052432026302974,22.105159390210172,22.052432026302974
40100,23.045835839119022,23.035977827307587,22.045835839119022,22.035977827307587
40600,23.087985589981351,23.043378197704634,22.087985589981351,22.043378197704634
41100,23.066905264324774,23.033025803822010,22.066905264324774,22.033025803822010
41600,23.118633894292429,23.032392172574209,22.118633894292429,22.032392172574209
42100,23.161989463623531,23.034892737885936,22.161989463623531,22.034892737885936
42600,23.169024805642735,23.035022702299941,22.169024805642735,22.035022702299941
43100,23.141003965384101,23.035911345288497,22.141003965384101,22.035911345288497
43600,23.151567885809641,23.030002975850834,22.151567885809641,22.030002975850834
44100,23.178943124526619,23.035394913308750,22.178943124526619,22.035394913308750
44600,23.155125439253666,23.039193802349356,22.155125439253666,22.039193802349356
45100,23.165181452415943,23.050915534665080,22.165181452415943,22.050915534665080
45600,23.188208922431294,23.036462571202446,22.188208922431294,22.036462571202446
46100,23.194425751945705,23.036565642078330,22.194425751945705,22.036565642078330
46600,23.219872513627045,23.048642749772579,22.219872513627045,22.048642749772579
47100,23.232007147763937,23.038159232011132,22.232007147763937,22.038159232011132
47600,23.231249154173955,23.029965011533154,22.231249154173955,22.029965011533154
48100,23.233633501644377,23.032178886380230,22.233633501644377,22.032178886380230
48600,23.229779956721767,23.032320726087828,22.229779956721767,22.032320726087828
49100,23.253571035987804,23.022430447580259,22.253571035987804,22.022430447580259
49600,23.243530143382127,23.027962699939263,22.243530143382127,22.027962699939263
50100,23.221682593030803,23.026831831297656,22.221682593030803,22.026831831297656
50600,23.221071561064072,23.023776927788663,22.221071561064072,22.023776927788663
51100,23.229301563661206,23.025278931918596,22.229301563661206,22.025278931918596
51600,23.249030101976654,23.026751827441355,22.249030101976654,22.026751827441355
52100,23.251060747647021,23.033237375407388,22.251060747647021,22.033237375407388
52600,23.258770986039075,23.044592629454240,22.258770986039075,22.044592629454240
53100,23.322979566990814,23.042750812228647,22.322979566990814,22.042750812228647
53600,23.335486588494195,23.039718394168560,22.335486588494195,22.039718394168560
54100,23.367221211816535,23.034314744577081,22.367221211816535,22.034314744577081
54600,23.387357134241721,23.029010062926837,22.387357134241721,22.029010062926837
55100,23.368916351000063,23.025589078455930,22.368916351000063,22.025589078455930
55600,23.321054093975494,23.019277373294113,22.321054093975494,22.019277373294113
56100,23.314255855279949,23.017759675137267,22.314255855279949,22.017759675137267
56600,23.328834067644831,23.016848809297276,22.328834067644831,22.016848809297276
57100,23.314185433460917,23.013079201092211,22.314185433460917,22.013079201092211
57600,23.307623856020591,23.021343947726130,22.307623856020591,22.021343947726130
58100,23.301175214508671,23.024381055023927,22.301175214508671,22.024381055023927
58600,23.317933845082962,23.020643670188221,22.317933845082962,22.020643670188221
59100,23.319141032356615,23.035855925928804,22.319141032356615,22.035855925928804
59600,23.315281367111730,23.036491561851491,22.315281367111730,22.036491561851491
60100,23.286462859122910,23.039301580602562,22.286462859122910,22.039301580602562
60600,23.302789788650077,23.045315626533696,22.302789788650077,22.045315626533696
61100,23.323772205792693,23.040485249134651,22.323772205792693,22.040485249134651
61600,23.344413999280398,23.032002717523902,22.344413999280398,22.032002717523902
62100,23.345349662577888,23.028943255822689,22.345349662577888,22.028943255822689
62600,23.372696493004355,23.022261691643219,22.372696493004355,22.022261691643219
63100,23.401993272416384,23.026091407712919,22.401993272416384,22.026091407712919
63600,23.397724999324797,23.022118216852949,22.397724999324797,22.022118216852949
64100,23.414638719615919,23.025889306110248,22.414638719615919,22.025889306110248
64600,23.403354652642676,23.027569263275200,22.403354652642676,22.027569263275200
65100,23.387623686193891,23.025693413466186,22.387623686193891,22.025693413466186
65600,23.417982707470113,23.018341294283097,22.417982707470113,22.018341294283097
66100,23.395553573166385,23.017060283283197,22.395553573166385,22.017060283283197
66600,23.384751648943460,23.019249003331939,22.384751648943460,22.019249003331939
67100,23.385317012072264,23.009173729424241,22.385317012072264,22.009173729424241
67600,23.376975277437886,23.010902768199372,22.376975277437886,22.010902768199372
68100,23.399672930387240,23.012124346625718,22.399672930387240,22.012124346625718
68600,23.380386891356348,23.011892446752388,22.380386891356348,22.011892446752388
69100,23.389673037382376,23.009763525981295,22.389673037382376,22.009763525981295
69600,23.405308029503527,23.016627135804125,22.405308029503527,22.016627135804125
70100,23.401411887603835,23.011684912756031,22.401411887603835,22.011684912756031
70600,23.418872434883394,23.011462694422097,22.418872434883394,22.011462694422097
71100,23.412820531068007,23.016322632755994,22.412820531068007,22.016322632755994
71600,23.413154349851254,23.017905154676846,22.413154349851254,22.017905154676846
72100,23.407226037524513,23.015367792815240,22.407226037524513,22.015367792815240
72600,23.411736724776350,23.018743853881521,22.411736724776350,22.018743853881521
73100,23.412071106828694,23.022522828079275,22.412071106828694,22.022522828079275
73600,23.412400945646624,23.022682086760522,22.412400945646624,22.022682086760522
74100,23.424903548697699,23.021953123031032,22.424903548697699,22.021953123031032
74600,23.427158890889135,23.025634602646061,22.427158890889135,22.025634602646061
75100,23.457419362476401,23.023147139074737,22.457419362476401,22.023147139074737
75600,23.425612275525697,23.018955593752924,22.425612275525697,22.018955593752924
76100,23.415961322773711,23.022584202740045,22.415961322773711,22.022584202740045
76600,23.408399659371167,23.018022474683402,22.408399659371167,22.018022474683402
77100,23.387282112486051,23.020758475740475,22.387282112486051,22.020758475740475
77600,23.387754672204753,23.017113405074433,22.387754672204753,22.017113405074433
78100,23.403625904543251,23.016877773057342,22.403625904543251,22.016877773057342
78600,23.402075142796779,23.024580904915354,22.402075142796779,22.024580904915354
79100,23.406247726132392,23.024716080648876,22.406247726132392,22.024716080648876
79600,23.395253456771272,23.018663186779502,22.395253456771272,22.018663186779502
80100,23.395661508731678,23.022112417084209,22.395661508731678,22.022112417084209
80600,23.405393816338709,23.023889621654256,22.405393816338709,22.023889621654256
81100,23.390899437681746,23.024025725749848,22.390899437681746,22.024025725749848
81600,23.369210695458545,23.020539315104138,22.369210695458545,22.020539315104138
82100,23.356944995857770,23.021493897532661,22.356944995857770,22.021493897532661
82600,23.328441623095493,23.016475238471042,22.328441623095493,22.016475238471042
83100,23.361812091017843,23.016652678106947,22.361812091017843,22.016652678106947
83600,23.349810719785744,23.012508388551655,22.349810719785744,22.012508388551655
84100,23.350469534655204,23.011536231902099,22.350469534655204,22.011536231902099
84600,23.324455914700749,23.011739715791325,22.324455914700749,22.011739715791325
85100,23.318187163671389,23.011169268942083,22.318187163671389,22.011169268942083
85600,23.308477893111643,23.004852738940876,22.308477893111643,22.004852738940876
86100,23.312854780065063,22.995940546374761,22.312854780065063,21.995940546374761
86600,23.305025002274117,22.993575760034716,22.305025002274117,21.993575760034716
87100,23.311098079467275,22.998399446655700,22.311098079467275,21.998399446655700
87600,23.329119184088697,22.997546662371686,22.329119184088697,21.997546662371686
88100,23.329865518916961,22.994095123348103,22.329865518916961,21.994095123348103
88600,23.320419099757395,22.995869969118012,22.320419099757395,21.995869969118012
