size,threshold,random,reversed,almost_sorted
17800,20,6045,4557,4223
17800,30,6051,5349,4320
17800,50,5699,4515,3650
17900,5,7988,6272,6225
17900,10,6786,5181,5070
17900,15,7370,5296,5093
17900,20,6206,4586,4296
17900,30,6219,4626,4268
17900,50,5763,4592,3677
18000,5,8084,6343,6289
18000,10,6879,5223,5070
18000,15,6891,5215,5083
18000,20,6148,4642,4376
18000,30,6157,4639,4264
18000,50,5770,4620,3719
18100,5,7994,6295,6237
18100,10,6918,5222,5116
18100,15,6945,5289,5170
18100,20,6242,4639,4333
18100,30,6191,4660,4309
18100,50,5839,4778,3932
18200,5,8065,6346,6348
18200,10,6948,5270,5146
18200,15,6929,5314,5176
18200,20,6247,4645,4331
18200,30,6219,4641,4371
18200,50,5827,4665,3726
18300,5,8147,6489,6410
18300,10,7067,5334,5205
18300,15,7053,5283,5182
18300,20,6247,4720,4358
18300,30,6231,4730,4327
18300,50,5831,4694,3734
18400,5,8227,6515,6439
18400,10,7023,5314,5189
18400,15,7063,5350,5194
18400,20,6274,4714,4356
18400,30,6262,4668,4380
18400,50,5908,4719,3784
18500,5,8179,6454,6366
18500,10,7006,5347,5187
18500,15,7021,5307,5181
18500,20,6276,4718,4381
18500,30,6322,4697,4398
18500,50,5955,4749,3775
18600,5,8221,6461,6383
18600,10,7037,5333,5213
18600,15,7058,5348,5206
18600,20,6305,4725,4405
18600,30,6322,4719,4399
18600,50,5959,4774,3798
18700,5,8224,6498,6416
18700,10,7065,5355,5247
18700,15,7084,5361,5207
18700,20,6358,4768,4437
18700,30,6365,4781,4449
18700,50,6002,4800,3826
18800,5,8237,6508,6424
18800,10,7293,6226,5245
18800,15,7135,5409,5232
18800,20,6411,4797,4484
18800,30,7266,4933,4500
18800,50,6065,4847,3843
18900,5,8316,6575,6504
18900,10,7176,5393,5276
18900,15,7164,5462,5256
18900,20,6431,4833,4475
18900,30,6430,4824,4452
18900,50,6074,4862,3860
19000,5,8429,6618,6596
19000,10,7229,5448,5348
19000,15,7269,5479,5330
19000,20,6477,4848,4550
19000,30,6476,4848,4543
19000,50,6129,4946,3904
19100,5,8424,6647,6567
19100,10,7245,5476,5381
19100,15,7267,5492,5314
19100,20,6498,4923,4593
19100,30,6580,4883,4545
19100,50,6206,4932,3964
19200,5,8480,6710,6599
19200,10,7310,5531,5383
19200,15,7311,5551,5358
19200,20,6558,4928,4595
19200,30,6581,4913,4565
19200,50,6268,4991,3950
19300,5,8525,6703,6622
19300,10,7328,5562,5420
19300,15,7316,5571,5382
19300,20,6563,4941,4556
19300,30,6594,4940,4605
19300,50,6266,5042,3964
19400,5,8661,6782,6741
19400,10,7455,5615,5447
19400,15,7442,5617,5471
19400,20,6644,4947,4690
19400,30,6684,4977,4602
19400,50,6283,5111,3967
19500,5,8623,6787,6703
19500,10,7431,5602,5465
19500,15,7437,5603,5467
19500,20,6656,5019,4640
19500,30,6736,4992,4644
19500,50,6330,5128,3979
19600,5,8558,6762,6689
19600,10,7440,5590,5460
19600,15,7409,5579,5452
19600,20,6638,5013,4601
19600,30,6662,4995,4637
19600,50,6348,5103,3998
19700,5,8633,7897,6703
19700,10,7461,5660,5459
19700,15,7435,5620,5451
19700,20,6692,5012,4660
19700,30,6698,5040,4630
19700,50,6349,5144,4036
19800,5,8706,6821,6764
19800,10,7495,5744,5548
19800,15,7517,5702,5533
19800,20,7045,5342,5582
19800,30,6771,5061,4693
19800,50,6407,5212,4092
19900,5,8701,6838,6762
19900,10,7529,5682,5519
19900,15,7514,5722,5558
19900,20,6805,5096,4714
19900,30,6791,5169,4684
19900,50,6449,5249,4067
20000,5,8772,6892,6806
20000,10,7618,5751,5555
20000,15,7543,5706,5574
20000,20,6828,5149,4712
20000,30,6890,5090,4755
20000,50,6466,5240,4093
20100,5,8775,6943,6816
20100,10,7611,5750,5598
20100,15,7602,6665,5932
20100,20,6821,5147,4761
20100,30,6874,5141,4745
20100,50,6472,5320,4117
20200,5,8811,6929,6890
20200,10,7698,5799,5668
20200,15,7650,5779,5623
20200,20,6955,5191,4796
20200,30,6835,5159,4757
20200,50,6562,5293,4147
20300,5,8880,6972,6887
20300,10,9125,5789,5673
20300,15,7668,5769,5682
20300,20,6954,5198,4816
20300,30,6940,5234,4776
20300,50,6578,5352,4162
20400,5,8902,7008,6974
20400,10,7702,5842,5670
20400,15,7732,5850,5664
20400,20,6951,5255,4823
20400,30,6959,5230,4801
20400,50,6655,5420,4170
20500,5,9004,7015,6884
20500,10,7748,5835,5701
20500,15,7742,5817,5686
20500,20,7030,5265,4848
20500,30,6975,5260,4808
20500,50,6688,5440,4190
20600,5,9019,7155,7029
20600,10,7870,5982,5777
20600,15,7764,5882,5723
20600,20,7112,5353,4932
20600,30,7038,5269,4862
20600,50,6681,5476,4219
20700,5,9137,8862,7095
20700,10,7951,6105,5882
20700,15,7878,5929,5756
20700,20,7190,5419,5088
20700,30,7072,5312,4908
20700,50,6722,5503,4234
20800,5,9183,7242,7152
20800,10,8062,6168,6018
20800,15,7862,5915,5789
20800,20,7350,5525,5183
20800,30,7535,6170,4931
20800,50,6780,5502,4246
20900,5,9234,7291,7205
20900,10,8106,6181,6075
20900,15,7907,5940,5803
20900,20,7548,5600,5297
20900,30,7093,5337,4928
20900,50,6806,5551,4262
21000,5,9741,7419,8113
21000,10,8204,6296,6114
21000,15,7905,5953,5834
21000,20,7583,5677,5389
21000,30,7218,5398,4932
21000,50,6850,5613,4323
21100,5,9491,7452,7337
21100,10,8312,6381,6208
21100,15,8002,6006,5817
21100,20,8103,5756,5968
21100,30,7648,5434,4991
21100,50,6874,5647,4284
21200,5,9504,7556,7441
21200,10,8460,6468,6333
21200,15,7987,6065,5821
21200,20,7788,5867,5608
21200,30,7205,5430,5000
21200,50,6914,5644,4323
21300,5,9635,7604,7504
21300,10,8580,6542,6395
21300,15,8013,6046,5899
21300,20,7977,6003,5768
21300,30,7283,5464,4992
21300,50,7020,5732,4371
21400,5,9728,7709,7559
21400,10,9119,7448,6598
21400,15,8135,6108,5961
21400,20,8045,6119,5851
21400,30,7340,5558,5020
21400,50,6974,5672,4336
21500,5,9767,7667,7610
21500,10,8728,6737,6624
21500,15,8127,6193,5951
21500,20,8127,6076,5944
21500,30,7349,5541,5073
21500,50,7057,5759,4400
21600,5,9923,7860,7769
21600,10,8936,6839,6672
21600,15,8156,6204,5997
21600,20,8168,6171,5976
21600,30,7365,5544,5077
21600,50,7139,5840,4409
21700,5,10040,7991,7827
21700,10,9004,6948,6745
21700,15,8456,6211,7397
21700,20,8244,6154,6016
21700,30,7450,5599,5082
21700,50,7144,5863,4487
21800,5,10112,8007,7919
21800,10,9190,7139,6976
21800,15,8205,6190,6039
21800,20,8229,6242,6036
21800,30,7507,5656,5168
21800,50,7169,5945,4521
21900,5,10172,8173,7980
21900,10,9119,7071,6954
21900,15,8281,6197,6091
21900,20,8257,6223,6020
21900,30,7501,5649,5120
21900,50,7185,5951,4484
22000,5,10309,8195,8098
22000,10,9217,7149,7035
22000,15,8285,6253,6079
22000,20,8311,6305,6093
22000,30,7607,5643,5200
22000,50,7187,5928,4484
22100,5,10377,8247,8176
22100,10,9317,7272,7126
22100,15,8345,6258,6110
22100,20,8367,6266,6099
22100,30,7577,5730,5202
22100,50,7205,5960,4473
22200,5,10799,9635,8654
22200,10,9430,7364,7194
22200,15,8592,6313,7190
22200,20,8372,6287,6127
22200,30,7593,5787,5240
22200,50,7376,6074,4563
22300,5,10494,8336,8231
22300,10,9475,7469,7453
22300,15,8337,6331,6809
22300,20,8412,6320,6121
22300,30,7667,5755,5243
22300,50,7299,6133,4562
22400,5,10589,8511,8374
22400,10,9603,7473,7368
22400,15,8449,6416,6151
22400,20,8362,6308,6168
22400,30,7637,5776,5223
22400,50,7310,6090,4563
22500,5,10661,8554,8421
22500,10,9692,7526,7477
22500,15,8446,6369,6236
22500,20,8431,6369,6191
22500,30,7660,5770,5237
22500,50,7376,6140,4565
22600,5,10728,8593,8490
22600,10,9757,7827,7481
22600,15,8517,6491,6295
22600,20,8534,6357,6188
22600,30,7699,5800,5284
22600,50,7452,6183,4631
22700,5,11453,8669,8557
22700,10,9739,7709,7545
22700,15,9042,6386,6209
22700,20,8534,6398,6222
22700,30,7752,9072,5311
22700,50,7432,6339,4629
22800,5,10916,8706,8629
22800,10,9790,7584,7718
22800,15,8621,6443,6299
22800,20,8592,6424,6237
22800,30,7774,5882,5342
22800,50,7460,6259,4598
22900,5,11061,8805,8767
22900,10,10000,7664,7595
22900,15,8554,6456,6341
22900,20,8511,6411,6216
22900,30,7786,5887,5352
22900,50,7552,6252,4663
23000,5,11129,8883,8831
23000,10,9962,7717,7677
23000,15,8623,6505,6288
23000,20,8683,6475,6269
23000,30,7862,5934,5382
23000,50,7637,6337,4712
23100,5,11549,8889,8852
23100,10,9837,7664,7608
23100,15,8623,6494,6329
23100,20,8674,6529,6319
23100,30,7916,5973,5446
23100,50,7587,6337,4710
23200,5,11360,9124,8992
23200,10,9959,7757,7660
23200,15,8727,6671,6374
23200,20,8730,6594,6372
23200,30,7924,6016,5423
23200,50,7655,6361,4687
23300,5,11423,9157,9041
23300,10,10026,8068,7641
23300,15,8717,6537,6343
23300,20,8711,6566,6403
23300,30,8019,6054,5471
23300,50,7674,6443,4737
23400,5,11431,9270,9043
23400,10,10043,7815,7723
23400,15,8828,6725,6425
23400,20,8808,6612,6455
23400,30,7984,6084,5464
23400,50,7708,6409,4748
23500,5,11571,9327,9230
23500,10,10167,7873,7755
23500,15,8771,6620,6371
23500,20,8784,6608,6428
23500,30,8112,6110,5554
23500,50,7791,6528,4773
23600,5,11634,9350,9393
23600,10,10141,7845,7749
23600,15,8932,6704,6499
23600,20,8806,6658,6416
23600,30,8026,6106,5499
23600,50,7805,6530,4787
23700,5,11680,9460,9310
23700,10,10257,7864,7757
23700,15,8847,6656,6457
23700,20,8860,6669,6450
23700,30,8075,6160,5536
23700,50,7789,6531,4785
23800,5,11908,10023,9427
23800,10,10263,7881,7836
23800,15,8894,6698,6469
23800,20,8879,6688,6435
23800,30,8130,6157,5536
23800,50,7865,6571,4815
23900,5,11866,9540,9460
23900,10,10236,8247,8038
23900,15,8947,6722,6536
23900,20,9101,6762,6526
23900,30,8165,6230,5600
23900,50,7895,6604,4847
24000,5,12010,9715,9583
24000,10,10284,7999,7908
24000,15,8936,6715,6509
24000,20,8968,6745,6529
24000,30,8312,6205,5602
24000,50,7906,6694,4863
24100,5,12055,9858,9639
24100,10,10343,8027,7873
24100,15,9150,6838,8296
24100,20,9024,6780,6635
24100,30,8291,6284,5642
24100,50,8698,7041,4935
24200,5,12142,9728,10165
24200,10,11099,7999,7934
24200,15,9051,6856,6615
24200,20,9109,6836,6592
24200,30,8320,6329,5659
24200,50,8137,6732,4994
24300,5,12316,9980,9828
24300,10,10383,8100,7977
24300,15,9083,6808,6605
24300,20,9023,6762,6585
24300,30,8243,6278,5614
24300,50,7965,6725,4910
24400,5,12214,10276,9794
24400,10,10428,8032,7919
24400,15,9067,6795,6603
24400,20,9058,6802,6594
24400,30,8332,6317,5683
24400,50,8023,6791,4923
24500,5,12316,10001,9867
24500,10,10335,8041,7970
24500,15,9103,6862,6594
24500,20,9106,6806,6579
24500,30,8392,6311,5728
24500,50,8079,6799,4981
24600,5,12359,9985,9910
24600,10,10383,8079,7966
24600,15,9173,6846,6735
24600,20,9117,6900,6626
24600,30,8336,6349,5695
24600,50,9681,6842,4987
24700,5,12351,9961,9869
24700,10,10383,8063,7962
24700,15,9122,6852,6641
24700,20,9145,6870,6685
24700,30,8379,6386,5744
24700,50,8154,6903,5000
24800,5,12479,10048,9925
24800,10,10502,8137,8018
24800,15,9174,6884,6660
24800,20,9257,6921,6724
24800,30,8471,6439,5719
24800,50,8147,6895,4986
24900,5,12515,10113,10104
24900,10,10517,8138,8052
24900,15,9200,6915,6703
24900,20,9193,6908,6691
24900,30,8474,6420,5739
24900,50,8199,6957,5017
25000,5,12585,10127,10022
25000,10,10538,8142,8065
25000,15,9340,6983,6828
25000,20,9288,6965,6762
25000,30,8539,6460,5837
25000,50,8371,7047,5096
25100,5,12529,10150,10012
25100,10,10586,8228,8086
25100,15,9287,6971,6755
25100,20,9279,6971,6741
25100,30,8511,6513,5804
25100,50,8280,6998,5064
25200,5,12594,10163,10072
25200,10,10680,8217,8210
25200,15,9337,7028,6804
25200,20,9329,7007,6770
25200,30,8547,6526,5820
25200,50,8326,7084,5619
25300,5,12703,10247,10137
25300,10,10688,8276,8141
25300,15,9411,7019,6820
25300,20,9396,7018,6823
25300,30,8596,6566,5844
25300,50,8345,7095,5126
25400,5,12723,10257,10117
25400,10,10681,8255,8142
25400,15,9400,7066,6852
25400,20,9397,7061,6819
25400,30,8617,6597,5839
25400,50,8422,7147,5137
25500,5,12790,10296,10185
25500,10,10718,8301,8179
25500,15,9458,7091,6888
25500,20,9510,7110,6920
25500,30,8706,6684,5962
25500,50,8495,7230,5189
25600,5,12884,10399,10222
25600,10,10875,8374,8246
25600,15,9531,7170,6897
25600,20,9549,7151,6938
25600,30,8742,6677,5944
25600,50,8499,7255,5182
25700,5,13188,10466,10248
25700,10,11003,8444,8279
25700,15,10732,7415,7008
25700,20,9572,7208,6961
25700,30,9139,6728,5981
25700,50,8603,7172,5352
25800,5,13282,10620,10428
25800,10,10898,8443,8329
25800,15,9677,7226,6965
25800,20,9725,7274,6952
25800,30,8884,6768,5979
25800,50,8711,7128,5501
25900,5,12871,10350,10267
25900,10,10838,8369,8247
25900,15,9600,7192,6943
25900,20,9569,7180,6930
25900,30,8898,6764,6014
25900,50,8782,7097,5691
26000,5,13091,10573,10393
26000,10,11022,8546,8359
26000,15,9679,7254,6991
26000,20,9724,7303,7002
26000,30,8898,6807,5994
26000,50,8811,6886,5839
26100,5,13067,10547,10477
26100,10,11030,8510,8397
26100,15,9763,7308,7034
26100,20,9772,7281,7048
26100,30,9030,6887,6050
26100,50,8983,6844,6020
26200,5,13083,10521,10447
26200,10,11013,8462,8861
26200,15,9695,7313,7034
26200,20,9677,7296,7015
26200,30,8990,6867,6096
26200,50,9000,6876,6045
26300,5,13165,10603,10471
26300,10,11029,8518,8430
26300,15,9737,7285,7015
26300,20,9725,7300,7039
26300,30,8952,6810,6029
26300,50,8935,6826,6018
26400,5,13519,10681,12339
26400,10,11137,8560,8431
26400,15,9813,7351,7095
26400,20,9790,7349,7112
26400,30,9041,6939,6090
26400,50,9031,11072,6545
26500,5,13223,10609,10548
26500,10,11143,8567,8455
26500,15,9802,7367,7096
26500,20,9863,7419,7136
26500,30,9127,6919,6125
26500,50,9130,6953,6127
26600,5,13508,12460,10756
26600,10,11248,8606,8498
26600,15,9839,7425,7275
26600,20,9868,7476,7148
26600,30,9161,6952,6184
26600,50,9162,7047,6169
26700,5,13276,10709,10537
26700,10,11220,8668,8574
26700,15,10159,7615,7515
26700,20,9884,7407,7139
26700,30,9119,6979,6136
26700,50,9108,6986,6149
26800,5,13290,10664,10527
26800,10,11210,8613,8480
26800,15,9883,7404,7135
26800,20,9888,7413,7128
26800,30,9108,6989,6129
26800,50,9118,7015,6159
26900,5,13402,10773,10615
26900,10,11320,8728,8570
26900,15,9987,7507,7286
26900,20,10013,7480,7211
26900,30,9217,7078,6225
26900,50,9199,7088,6223
27000,5,13354,10750,10590
27000,10,11300,8670,8576
27000,15,9939,7458,7161
27000,20,9989,7481,7212
27000,30,9183,7041,6172
27000,50,9192,7040,6182
27100,5,13400,10742,10621
27100,10,11458,8968,8622
27100,15,10141,7636,7299
27100,20,10553,7555,7259
27100,30,9294,7164,6252
27100,50,9325,7123,6252
27200,5,13525,10929,10788
27200,10,11477,8766,8679
27200,15,10118,7584,7287
27200,20,10086,7665,7249
27200,30,9294,7118,6659
27200,50,9279,7195,6235
27300,5,13532,10877,10726
27300,10,11479,8837,8698
27300,15,10119,7611,7301
27300,20,10123,7562,7315
27300,30,9320,7144,6240
27300,50,9319,7162,6300
27400,5,13629,10941,10947
27400,10,11540,8857,8747
27400,15,10136,7627,7280
27400,20,10079,7561,7260
27400,30,9316,7250,6292
27400,50,9411,7164,6273
27500,5,13575,10888,10730
27500,10,11415,8837,8669
27500,15,10118,7598,7278
27500,20,10176,7606,7411
27500,30,9410,7224,6315
27500,50,9443,7276,6339
27600,5,15219,11009,10800
27600,10,11627,8928,8750
27600,15,10195,7647,7369
27600,20,10214,7696,7364
27600,30,9448,7296,6363
27600,50,9477,7280,6397
27700,5,13681,10989,10874
27700,10,11595,8940,8815
27700,15,10223,7726,7347
27700,20,10246,7693,7386
27700,30,9466,7283,6387
27700,50,9485,7290,6377
27800,5,14489,11041,10877
27800,10,11699,8933,9499
27800,15,10352,7703,7403
27800,20,10239,7737,7389
27800,30,9511,7360,6395
27800,50,9478,7321,6374
27900,5,13700,11053,10876
27900,10,11575,8903,8779
27900,15,10238,7687,7394
27900,20,10280,7716,7410
27900,30,9513,7415,6371
27900,50,11038,7340,6404
28000,5,13733,11027,10888
28000,10,11678,8968,8850
28000,15,10359,7742,7445
28000,20,10330,7730,7451
28000,30,9518,7367,6423
28000,50,9522,7328,6406
28100,5,13756,11069,10896
28100,10,11677,9020,8844
28100,15,10320,7755,7424
28100,20,10340,7762,7466
28100,30,9595,7393,6415
28100,50,9581,7431,6441
28200,5,13849,11069,10963
28200,10,11738,9007,8851
28200,15,10436,7803,7464
28200,20,10362,7809,7483
28200,30,9641,7432,6434
28200,50,9610,7448,6453
28300,5,13815,11044,10907
28300,10,11723,9018,8873
28300,15,10388,7787,7460
28300,20,10404,7794,7493
28300,30,9639,7430,6442
28300,50,9601,7402,6441
28400,5,13842,11075,10969
28400,10,11737,9048,8895
28400,15,10441,7826,7540
28400,20,10416,7841,7485
28400,30,9644,7446,6484
28400,50,9653,7432,6472
28500,5,13851,11109,10964
28500,10,11786,9061,8928
28500,15,10460,7855,7519
28500,20,10447,7849,7518
28500,30,9668,7478,6497
28500,50,9724,7484,6492
28600,5,13920,11149,10982
28600,10,11813,9099,8937
28600,15,10484,7881,7552
28600,20,10519,7868,7540
28600,30,9726,7538,6536
28600,50,9710,7508,6502
28700,5,13944,11150,10992
28700,10,11847,9104,8972
28700,15,10516,7915,7560
28700,20,10510,7883,7553
28700,30,9733,7532,6523
28700,50,9728,7526,6520
28800,5,13981,11206,11055
28800,10,11881,9167,8991
28800,15,10546,7916,7574
28800,20,10545,7899,7573
28800,30,9769,7567,6543
28800,50,9775,7562,6550
28900,5,14056,11240,11091
28900,10,11909,9150,9005
28900,15,10604,7965,7605
28900,20,10594,7959,7608
28900,30,9850,7594,6582
28900,50,9822,7612,6576
29000,5,14056,11238,11101
29000,10,11971,9196,9051
29000,15,10683,7999,7645
29000,20,10628,7964,7621
29000,30,9872,7620,6591
29000,50,9872,7626,6594
29100,5,14116,11278,11155
29100,10,12004,9205,9050
29100,15,10701,8014,7675
29100,20,10681,7997,7641
29100,30,9896,7669,6628
29100,50,9904,7676,6650
29200,5,14154,11329,11170
29200,10,12051,9238,9076
29200,15,10692,8008,7664
29200,20,10682,8021,7667
29200,30,9949,7688,6635
29200,50,9915,7692,6637
29300,5,14204,11368,11189
29300,10,12094,9278,9108
29300,15,10740,8073,7701
29300,20,10736,8057,7697
29300,30,9962,7721,6655
29300,50,9960,7722,6666
29400,5,14232,11351,11209
29400,10,12158,9277,9137
29400,15,10765,8076,7725
29400,20,10759,8079,7715
29400,30,9992,7757,6685
29400,50,10014,7759,6701
29500,5,14280,11399,11277
29500,10,12153,9306,9171
29500,15,10799,8094,7735
29500,20,10784,8098,7764
29500,30,10084,7780,6710
29500,50,10025,7795,6702
29600,5,14339,11451,11318
29600,10,12195,9342,9182
29600,15,10843,8142,7793
29600,20,10865,8146,7774
29600,30,10089,7817,6745
29600,50,10069,7816,6729
29700,5,14353,11426,11321
29700,10,12231,9417,9208
29700,15,10883,8154,7788
29700,20,10872,8165,7784
29700,30,10104,7855,6746
29700,50,10104,8312,6744
29800,5,14431,11517,11409
29800,10,12264,9448,9280
29800,15,10886,8182,7816
29800,20,11103,8235,7841
29800,30,10142,7890,6816
29800,50,10158,7896,6767
29900,5,14409,11534,11387
29900,10,12292,9402,9270
29900,15,10984,8220,7848
29900,20,10927,8217,7830
29900,30,10168,7913,6797
29900,50,10182,7918,6818
30000,5,14514,11588,11549
30000,10,12342,9466,9294
30000,15,11123,8364,7948
30000,20,11157,8391,8002
30000,30,10303,7984,6872
30000,50,10309,8016,6917
30100,5,14608,11691,11531
30100,10,12567,9609,9436
30100,15,11137,8384,8060
30100,20,11199,8419,7996
30100,30,10414,8041,6955
30100,50,10425,8114,6910
30200,5,14631,11685,11528
30200,10,12463,9556,9374
30200,15,11109,8316,7960
30200,20,11085,8334,7912
30200,30,10384,8041,6878
30200,50,10559,8267,7037
30300,5,14805,11801,11681
30300,10,12570,9614,9455
30300,15,11131,8326,7958
30300,20,11138,8319,7964
30300,30,10363,8068,6887
30300,50,10356,8074,6911
30400,5,14704,11772,11570
30400,10,12711,10048,10314
30400,15,11287,8467,8067
30400,20,11219,8427,8011
30400,30,10481,8179,6959
30400,50,10439,8142,6957
30500,5,14713,11740,11575
30500,10,12524,9576,9388
30500,15,11198,8382,7967
30500,20,11342,8489,8064
30500,30,10569,8224,6997
30500,50,10466,8145,6971
30600,5,14986,11963,11771
30600,10,12695,9657,9481
30600,15,11189,8413,8007
30600,20,11348,8492,8082
30600,30,10581,8237,6992
30600,50,10461,8147,6964
30700,5,15030,12019,11867
30700,10,12703,9711,9507
30700,15,11317,8457,8062
30700,20,11227,8419,8021
30700,30,10465,8152,6958
30700,50,10475,8153,6938
30800,5,14802,11788,11645
30800,10,12634,9657,9497
30800,15,11344,8476,8128
30800,20,11256,8457,8034
30800,30,10567,8205,7071
30800,50,10508,8196,6986
30900,5,14880,11858,11707
30900,10,12678,9700,9510
30900,15,11418,8580,8200
30900,20,11288,8472,8064
30900,30,10770,8286,7188
30900,50,10597,8284,7034
31000,5,15025,11981,11830
31000,10,12742,9735,9534
31000,15,11563,8717,8345
31000,20,11450,8553,8140
31000,30,10812,8325,7360
31000,50,10615,8294,7044
31100,5,15014,11931,11800
31100,10,12850,9815,9616
31100,15,11680,8789,8428
31100,20,11430,8551,8185
31100,30,10983,8424,7496
31100,50,10671,8376,7116
31200,5,15183,12074,11865
31200,10,12981,9959,9747
31200,15,11871,8933,8558
31200,20,11526,8621,8233
31200,30,11134,8498,7678
31200,50,10737,8374,7155
31300,5,15027,11968,11815
31300,10,12927,9888,9722
31300,15,11969,9022,8624
31300,20,11445,8585,8130
31300,30,11113,8549,7699
31300,50,10681,8352,7074
31400,5,15024,11985,11821
31400,10,12831,9806,9613
31400,15,11938,9021,8663
31400,20,11481,8612,8186
31400,30,11238,8546,7818
31400,50,10718,8369,7085
31500,5,15110,12038,11877
31500,10,12893,9859,9633
31500,15,12053,9118,8768
31500,20,11492,8627,8179
31500,30,11318,8582,7956
31500,50,10755,8383,7106
31600,5,15109,12064,11862
31600,10,12901,9886,9707
31600,15,12160,9209,8894
31600,20,11538,8646,8220
31600,30,11427,8649,8069
31600,50,10798,8460,7125
31700,5,15263,12092,11976
31700,10,12981,9977,9728
31700,15,12296,9310,8981
31700,20,11601,8731,8264
31700,30,11583,8662,8187
31700,50,10858,8494,7186
31800,5,15271,12125,12048
31800,10,12999,9918,9730
31800,15,12348,9406,9047
31800,20,11674,8774,8324
31800,30,11823,8846,8403
31800,50,10974,8563,7274
31900,5,15321,12179,12109
31900,10,13149,10054,9845
31900,15,12555,9573,9242
31900,20,11711,8805,8358
31900,30,11703,8786,8338
31900,50,10894,8533,7200
32000,5,15523,12313,12144
32000,10,13152,10026,9871
32000,15,12608,9587,9275
32000,20,11675,8771,8317
32000,30,11676,8786,8305
32000,50,10937,8566,7232
32100,5,15454,12281,12133
32100,10,13206,10108,9888
32100,15,12866,9787,9484
32100,20,11958,8899,8514
32100,30,12285,8875,8431
32100,50,11222,8748,7385
32200,5,15443,12333,12194
32200,10,13318,10183,9937
32200,15,12899,9813,9540
32200,20,12021,8895,8474
32200,30,11987,9637,8832
32200,50,11220,8710,7375
32300,5,15530,12363,12149
32300,10,13234,10090,9902
32300,15,13091,10058,9695
32300,20,12060,8979,8592
32300,30,12042,9001,8540
32300,50,11322,8763,7381
32400,5,15766,14233,14329
32400,10,13543,10391,10127
32400,15,13235,10175,9837
32400,20,11890,8900,8416
32400,30,11913,8942,8460
32400,50,11109,8721,7336
32500,5,15763,12396,12204
32500,10,13400,10225,10053
32500,15,13131,10050,9830
32500,20,12124,9049,8521
32500,30,11922,8967,8475
32500,50,11265,8832,7464
32600,5,15592,12409,12261
32600,10,13380,10241,10033
32600,15,13241,10116,9933
32600,20,11979,8981,8500
32600,30,11969,8963,8477
32600,50,11151,8744,7344
32700,5,15740,12457,12309
32700,10,13368,10197,10008
32700,15,13396,10226,10044
32700,20,12083,9056,8573
32700,30,12064,9025,8532
32700,50,11328,8856,7424
32800,5,15718,12503,12317
32800,10,13574,10290,10116
32800,15,13618,10348,10173
32800,20,12163,9119,8609
32800,30,12106,9074,8633
32800,50,11309,8908,7458
32900,5,15654,12452,12324
32900,10,13553,10397,10160
32900,15,13523,10299,10149
32900,20,12080,9039,8537
32900,30,12003,8992,8522
32900,50,11266,8842,7416
33000,5,15926,12538,12487
33000,10,13717,10363,10214
33000,15,13627,10422,10175
33000,20,12162,9149,8631
33000,30,12254,9181,8710
33000,50,11423,9007,7485
33100,5,15969,12619,12470
33100,10,13679,10394,10202
33100,15,21826,13116,10144
33100,20,12376,9475,8710
33100,30,16275,9289,8620
33100,50,11409,11338,7581
33200,5,15964,12637,12478
33200,10,13763,10428,10222
33200,15,13659,10474,10199
33200,20,12275,9127,8640
33200,30,12264,9190,8679
33200,50,11556,9042,8023
33300,5,16075,12703,12593
33300,10,13961,10515,10248
33300,15,13801,10512,10281
33300,20,12230,9221,8700
33300,30,12313,9153,8745
33300,50,11612,9091,7567
33400,5,16119,12846,12593
33400,10,13859,10521,10314
33400,15,13712,10466,10247
33400,20,12334,9284,8754
33400,30,12387,9366,8814
33400,50,11683,9198,7684
33500,5,16068,15288,13429
33500,10,13809,10506,10346
33500,15,13788,10519,10300
33500,20,12458,9328,8783
33500,30,12436,9256,8769
33500,50,11547,9137,7602
33600,5,15942,12639,12493
33600,10,13751,10466,10292
33600,15,13669,10417,10227
33600,20,12276,9222,8706
33600,30,12296,9225,8726
33600,50,11497,9085,7597
33700,5,15950,12667,12540
33700,10,13806,10541,10265
33700,15,13810,10506,10283
33700,20,12297,9239,8726
33700,30,12303,9232,8761
33700,50,11582,9160,7651
33800,5,16020,12694,12584
33800,10,13926,10561,10366
33800,15,13789,10494,10303
33800,20,12414,9297,8797
33800,30,12364,9315,8781
33800,50,11642,9199,7660
33900,5,16052,12744,12651
33900,10,13835,10527,10314
33900,15,13963,10690,10443
33900,20,12603,9455,8922
33900,30,12578,9451,8956
33900,50,11780,9380,7733
34000,5,16200,12839,12682
34000,10,13878,10587,10361
34000,15,13959,10611,10416
34000,20,12581,9442,8912
34000,30,12600,9421,8877
34000,50,11716,9261,7721
34100,5,16327,12846,12753
34100,10,14069,10684,10460
34100,15,13905,10593,10377
34100,20,12621,9424,8901
34100,30,12645,9479,8970
34100,50,11809,9357,7810
34200,5,16342,12969,12770
34200,10,14040,10710,10485
34200,15,14083,10685,10493
34200,20,12610,9501,8956
34200,30,12674,9598,8952
34200,50,11853,9377,7759
34300,5,16430,12955,12855
34300,10,14110,10716,10589
34300,15,14229,10849,10575
34300,20,12685,9574,9437
34300,30,12748,9571,8985
34300,50,11917,9386,7791
34400,5,16275,12890,12786
34400,10,14167,10750,10556
34400,15,14527,10727,10526
34400,20,12663,9581,8941
34400,30,13405,9606,8940
