size,threshold,random,reversed,almost_sorted
4500,30,1275,966,876
4500,50,1203,980,732
4600,5,1773,1407,1397
4600,10,1499,1139,1089
4600,15,1505,1138,1104
4600,20,1315,997,896
4600,30,1311,976,893
4600,50,1235,1010,745
4700,5,1810,1455,1411
4700,10,1520,1162,1109
4700,15,1513,1171,1114
4700,20,1330,1012,917
4700,30,1334,1007,916
4700,50,1251,1039,760
4800,5,1835,1458,1427
4800,10,1545,1172,1133
4800,15,1541,1175,1132
4800,20,1353,1024,924
4800,30,1358,1024,929
4800,50,1286,1074,775
4900,5,1866,1485,1472
4900,10,1575,1193,1180
4900,15,1590,1216,1181
4900,20,1425,1056,956
4900,30,1408,1077,949
4900,50,1328,1123,800
5000,5,1911,1513,1476
5000,10,1605,1220,1179
5000,15,1604,1234,1177
5000,20,1419,1069,969
5000,30,1412,1075,966
5000,50,1341,1127,803
5100,5,1930,1533,1494
5100,10,1627,1239,1194
5100,15,1627,1248,1199
5100,20,1445,1100,979
5100,30,1441,1096,983
5100,50,1378,1166,821
5200,5,2004,1588,1549
5200,10,1714,1309,1261
5200,15,1660,1273,1215
5200,20,1527,1157,1061
5200,30,1475,1115,998
5200,50,1408,1197,832
5300,5,2106,1651,1642
5300,10,1813,1399,1364
5300,15,1685,1301,1228
5300,20,1664,1243,1178
5300,30,1510,1138,1019
5300,50,1433,1232,848
5400,5,2146,1732,1695
5400,10,1894,1472,1423
5400,15,1720,1309,1259
5400,20,1713,1304,1252
5400,30,1527,1165,1030
5400,50,1476,1249,862
5500,5,2282,1800,1771
5500,10,2088,1577,1609
5500,15,1750,1338,1290
5500,20,1761,1328,1276
5500,30,1577,1221,1064
5500,50,1525,1309,881
5600,5,2326,1870,1839
5600,10,2070,1626,1594
5600,15,1823,1349,1289
5600,20,1787,1368,1315
5600,30,1590,1245,1067
5600,50,1521,1341,899
5700,5,2417,1949,1918
5700,10,2126,1688,1669
5700,15,1823,1372,1306
5700,20,1810,1368,1321
5700,30,1619,1228,1079
5700,50,1562,1339,907
5800,5,2473,2003,1982
5800,10,2173,1696,1647
5800,15,1841,1407,1335
5800,20,1906,1413,1338
5800,30,1659,1289,1131
5800,50,1609,1406,936
5900,5,2588,2120,2092
5900,10,2204,1736,1698
5900,15,1898,1419,1353
5900,20,1882,1421,1354
5900,30,1674,1290,1123
5900,50,1627,1472,943
6000,5,2664,2199,2128
6000,10,2220,1740,1704
6000,15,1889,1442,1364
6000,20,1893,1431,1360
6000,30,1708,1314,1143
6000,50,1669,1459,953
6100,5,2702,2202,2188
6100,10,2239,1753,1718
6100,15,1922,1454,1383
6100,20,1919,1457,1379
6100,30,1737,1326,1147
6100,50,1701,1474,973
6200,5,2767,2258,2217
6200,10,2271,1765,1756
6200,15,1943,1469,1402
6200,20,1945,1469,1404
6200,30,1763,1358,1172
6200,50,1729,1507,985
6300,5,2818,2283,2253
6300,10,2298,1792,1759
6300,15,1993,1496,1427
6300,20,1983,1506,1419
6300,30,1788,1379,1183
6300,50,1753,1542,1002
6400,5,2841,2318,2277
6400,10,2334,1814,1776
6400,15,2022,1520,1448
6400,20,2024,1523,1446
6400,30,1814,1397,1198
6400,50,1785,1574,1010
6500,5,2871,2341,2284
6500,10,2363,1840,1795
6500,15,2042,1543,1458
6500,20,2037,1536,1461
6500,30,1852,1421,1233
6500,50,1847,1484,1178
6600,5,2920,2367,2329
6600,10,2382,1866,1817
6600,15,2065,1563,1493
6600,20,2075,1555,1479
6600,30,1871,1469,1229
6600,50,1902,1451,1231
6700,5,2941,2383,2342
6700,10,2427,1875,1835
6700,15,2102,1583,1494
6700,20,2104,2347,1500
6700,30,1904,1482,1251
6700,50,1911,1476,1249
6800,5,2977,2414,2372
6800,10,2477,1905,1864
6800,15,2129,1611,1530
6800,20,2137,1606,1524
6800,30,1935,1498,1268
6800,50,1938,1507,1269
6900,5,3018,2451,2397
6900,10,2486,1930,1877
6900,15,2159,1628,1539
6900,20,2154,1617,1536
6900,30,1970,1527,1282
6900,50,1967,1527,1289
7000,5,3045,2459,2406
7000,10,2539,1955,1912
7000,15,2187,1657,1552
7000,20,2190,1647,1567
7000,30,2000,1546,1299
7000,50,1996,1555,1305
7100,5,3064,2477,2438
7100,10,2550,1973,1925
7100,15,2218,1681,1568
7100,20,2213,1687,1572
7100,30,2030,1574,1321
7100,50,2022,1577,1315
7200,5,3098,2500,2446
7200,10,2600,2016,1961
7200,15,2259,1694,1585
7200,20,2247,1705,1595
7200,30,2053,1603,1335
7200,50,2063,1602,1331
7300,5,3138,2530,2477
7300,10,2621,2015,1960
7300,15,2280,1703,1610
7300,20,2279,1708,1614
7300,30,2085,1623,1354
7300,50,2083,1632,1356
7400,5,3175,2556,2511
7400,10,2657,2039,1994
7400,15,2303,1746,1643
7400,20,2308,1746,1629
