size,random,reversed,almost_sorted
27300,21191,18481,18321
27400,21086,18437,18346
27500,20923,18424,18204
27600,21160,18579,18551
27700,22244,18972,18487
27800,21326,18648,18423
27900,21355,18802,18566
28000,21426,18905,18603
28100,21580,18688,18657
28200,21682,18875,18751
28300,21655,18981,18793
28400,21608,18947,18829
28500,22209,19027,18852
28600,21843,19052,19006
28700,21924,19141,19035
28800,22048,19369,19160
28900,22032,19340,19211
29000,22112,19375,19249
29100,22131,19400,19315
29200,22226,19446,19334
29300,22343,19619,19485
29400,22505,19698,19560
29500,22535,19716,19547
29600,22577,19876,19682
29700,22706,19842,19754
29800,22678,19986,19782
29900,23142,19960,19844
30000,22930,19939,19895
30100,23327,20355,20221
30200,23413,20402,20156
30300,23262,20377,20187
30400,23214,20481,20262
30500,23361,20606,20339
30600,23439,21085,20299
30700,23427,20592,20512
30800,23605,20673,20415
30900,23619,20680,20545
31000,23881,21378,20766
31100,23801,20926,20560
31200,24192,21115,20985
31300,25628,21179,21058
31400,23940,21013,20717
31500,24151,21085,21007
31600,24220,22890,20980
31700,24293,21317,21111
31800,24335,21265,21267
31900,24644,21565,21452
32000,24535,21464,21380
32100,24568,21579,21331
32200,25068,22067,21728
32300,25035,21907,21746
32400,25205,22070,22161
32500,24795,21724,21522
32600,25428,22260,22024
32700,25062,21926,21885
32800,25327,22035,21936
32900,25219,22053,21898
33000,25216,22103,22050
33100,25462,22341,22129
33200,25883,22723,22492
33300,25883,22551,22475
33400,25861,22818,22456
33500,26171,22878,22672
33600,25851,22666,22504
33700,25889,22757,22530
33800,26055,22627,22575
33900,26115,22858,22675
34000,26360,23079,22972
34100,26396,23048,22990
34200,31398,23426,23492
34300,26763,23431,23159
34400,26541,23256,23024
34500,26914,23612,23471
34600,27048,23635,23503
34700,26918,23597,23398
34800,27245,23638,23528
34900,27286,23942,23758
35000,27226,23932,23783
35100,27396,23906,23794
35200,27339,23954,23811
35300,27325,23807,23891
35400,27666,24149,24352
35500,27501,24210,24035
35600,27638,24181,24200
35700,27801,24368,24285
35800,27927,24486,24289
35900,27916,24345,24299
36000,28214,24555,24471
36100,27803,24359,24218
36200,27887,24372,24270
36300,28041,24453,24404
36400,28568,24646,24532
36500,28097,25007,24640
36600,28219,24687,24574
36700,28269,24693,24622
36800,28380,24823,24768
36900,28547,24926,24821
37000,28612,25040,24917
37100,28681,25048,24978
37200,28790,25197,25120
37300,28874,25224,25179
